ID,Answer
403,坎貝爾
404,8小時
405,樂壇女王」，奠定巨星地位
406,民國16年
407,國立廣東大學
408,亞伯拉罕諸教
409,六億七千多萬
410,妖怪，指草木或者動物等改變成為的精怪，也指怪異、反常的事物與現象。妖怪通常存在於人類想像與傳說之中，難以運用科學方法證明其真偽。研究這方面的學問，稱之為妖怪學
411,文峰塔、國家花木博覽園、許都公園、紫雲山和鈞官窯遺址被專家
412,中文
413,硫-34
414,
415,阿爾泰語系
416,清太宗
417,信陽市
418,5%
419,美國空軍准將。詹姆斯·史都華文武全才
420,質量
421,科技
422,媽祖
423,鮑德溫伯爵
424,
425,15米
426,蘇丹
427,行軍大總管
428,[UNK]左右
429,2005年9月
430,
431,那拉氏
432,辛酉政變
433,銅的礦物
434,統一企業
435,2013年1月1日
436,生物學研究
437,陳誠
438,孫中山
439,與德國單獨媾和
440,德國工業
441,中原大戰
442,1978年
443,恩琴
444,731
445,摩斯科格族
446,嘉義市
447,元初
448,肺呼氣機制
449,五角星
450,君士坦提烏斯
451,航海工業
452,阿29
453,混合動力自行車
454,中國共產黨中央政治局常務委員會
455,1939年
456,菲爾·法恩斯沃斯
457,市區2環快速3環路
458,盟旗制。維吾爾、布魯特、塔吉克等族地區則實行伯克制
459,臺南州
460,基督教
461,南緯30度
462,一次大戰期間
463,長盤
464,中華人民共和國
465,保守派
466,免費網路首頁伺服器
467,《全唐詩》
468,1911年
469,1982年開始
470,七年
471,荷蘭共和國和奧地利
472,德國物理學者海因里希·赫茲
473,梁朝偉
474,吳三連
475,1918年
476,米勒
477,1月8日
478,掃雷艇部隊
479,哈丹
480,
481,3年
482,80年代後當局容忍了收看西方電視節目的行為，甚至允許帶有既接收東德電視節目又接收西方電視節目的大型天線和有線電視存在。東德電視台亦製作了《黑頻道》等節目應對東德居民普遍收看西德節目的現實，但收效甚微。據萊比錫青年中心統計，從1976年到1988年
483,波你尼
484,東晉
485,電腦介入飛控系統
486,光明星4號」衛星後，宣布全面中斷韓朝僅存的經濟合作項目開城工業園區
487,烏孜別克人
488,2555公里
489,國共內戰
490,高句麗聯合[UNK][UNK]
491,茲維亞德·加姆薩胡爾季阿
492,路面電車，簡稱電車，是一種通常由架空高架電纜供電、電動機驅動，依賴固定軌道行駛的公共運輸工具。列車車廂分別有單節和多節編組的設計，但是總長度一般不大於100米
493,魚雷攻擊
494,荀子
495,清朝
496,1935年
497,大台北都會區
498,電路傳導飛控
499,中國政法大學
500,瓜拿納
501,二戰時期
502,鈉鹽
503,古代
504,宣統三年九月九日，蔡[UNK]、唐繼堯率新軍發動重九起義，脫離清朝。民國4年12月25日
505,馬麗娜·甘巴
506,1992年
507,中國國民黨
508,貝爾根
509,太白
510,朱棣
511,網路硬體環境
512,低稅賦
513,小選舉區制
514,科索沃
515,要求進行民主選[UNK]」的遊行。抗議活動
516,自由放任
517,綠色工業
518,四年
519,段祺瑞
520,喬治麥高文
521,田寮洋子萊萊
522,1902年
523,蝸頂
524,戰後1950年代
525,5%
526,
527,2002年
528,[UNK]
529,軍事冒險主義
530,學習維基媒體的頁面編輯工具被認為有挑戰性
531,整理遺產
532,雄性
533,經濟建設
534,《中華民國臨時約法》
535,鮮蝦腸粉
536,愛國教育
537,帕吉勒提河
538,「西南美麗的地方」
539,天」的至高無上
540,開羅
541,1932年
542,許榮茂
543,1955年
544,多倫多運輸局
545,公元前一世紀
546,柵欄
547,1898年
548,象徵性
549,狄拉克
550,藥葛羅
551,健康寫實電影
552,1956年7月
553,矮星
554,中生代
555,伊爾庫茨克國立大學
556,
557,23406人，女性為9347人
558,1789年
559,兩個
560,永康方巖
561,大韓民國成立後
562,
563,馬[UNK]
564,總兵官
565,阿普列尤斯
566,哈大客運專線
567,漢風魏韻
568,約翰•貝茨•克拉克獎
569,反文化運動
570,英國
571,宗御
572,轟炸機
573,小型雷達測距儀
574,義大利
575,中世紀
576,耳蝸核
577,刺史
578,監理會
579,至元二十九年
580,自由派
581,貝加爾湖
582,陶瓷
583,1980年代
584,俄國
585,西班牙人
586,1918年
587,印度洋各地，包括錫蘭、印度、波斯灣和阿拉伯半島，甚至達到非洲的索馬利亞亞。威尼斯人馬可·波羅在忽必烈時期隨從他的父親和叔叔來到中國，在其口述並由魯斯蒂謙
588,9年
589,[UNK]
590,1941年2月1日
591,101公里
592,
593,20倍
594,喬治亞共和國
595,1943年
596,對立逐步升級
597,陰道
598,聯邦制
599,韓國
600,氯仿
601,希臘
602,瀕危物種
603,越戰
604,公民權
605,冷氣
606,極端大陸性氣候
607,永康方巖
608,1928年
609,定向天線
610,霍布斯
611,1897年
612,中山盛產海鹽
613,中國人民銀行籌備處
614,市場分析
615,滬寧鐵路
616,2005年
617,家庭喜劇片
618,同性
619,男子
620,反對建文帝削藩
621,
622,朱熹
623,社會民主黨，9位來自自由民主黨
624,傳播色情
625,電穿孔細胞
626,大連
627,第五區
628,英王衛士
629,2年
630,漢武帝
631,東地區
632,不
633,義大利
634,西方文明
635,東晉
636,1936年
637,預言
638,非商用
639,五桂山
640,竹[UNK]魚
641,嘉義市
642,市民代表會
643,29個
644,27年
645,10月23日
646,人傳》
647,漢字詞
648,第二次世界大戰
649,5000噸級
650,君士坦丁堡
651,2015年年底
652,古漢語文言文
653,22年
654,阿列克修斯·杜卡斯
655,尼安三世
656,喜馬拉雅山脈
657,1937年
658,1964年
659,高麗時
660,科技創新活動
661,[UNK]-15
662,嘉靖帝除四位皇后外，正式冊封的妃嬪有近七十人。明孝宗
663,阿圖什
664,普洱專區
665,阿克爾自治市於1948年1月1日
666,紫外線
667,九一八事變
668,春秋
669,人類宗教
670,閩江口
671,1899年
672,牟定縣
673,聖武記
674,中央窩
675,伊斯蘭哈里
676,殖民主義
677,奧德
678,8月北部約22℃
679,25~27度
680,國有企業
681,麥克萊倫
682,赤城鎮政府街1號
683,纖維心包
684,羅非魚
685,潘普洛納
686,水質好
687,1848年
688,《臺灣府志》
689,杜林
690,第265任
691,決勝局開始
692,28年
693,德國財政局
694,田納西州的戰爭英雄安德魯•傑克遜
695,超新星
696,全斗煥
697,2007年
698,[UNK]公開賽
699,
700,382年
701,軍隊編制問題
702,劉銘傳
703,韓國
704,過境時
705,她
706,1923年
707,畢達哥拉斯
708,2009年
709,湘西土家族苗族自治州
710,許貢
711,中果咖啡
712,東晉
713,李定國
714,大台北都會區
715,醫學領域
716,《新基本法令》
717,1962年
718,太宗即位之初
719,越南
720,奧匈帝國
721,藍帳汗國兩個蒙古帝國
722,白矮星
723,咖啡因
724,
725,階梯狀
726,漳州人
727,6個
728,1866年
729,
730,嚴濟慈
731,90年代
732,金日成
733,第一
734,吉爾·德·萊斯男爵
735,西班牙瓦倫西亞
736,1787年
737,元惠宗
738,南郡
739,1898年
740,守舊派
741,中華人民共和國
742,端敬王后
743,中生代
744,約瑟夫史達林
745,中國共產黨
746,從未修改國會選區
747,人工流產
748,蘇聯
749,中華人民共和國國務院的組成部門，相當於內閣組成單位
750,維多利中心的福建社團聯會
751,恆星
752,工藝產品
753,華人富有、加上不少華人傾向中共，各國為推行反共政策
754,5～8％
755,日本
756,
757,鮮卑部落
758,鮑德溫伯爵
759,1918年
760,1939年
761,砲兵科
762,巴黎條約
763,1970年
764,威斯康辛大學麥迪遜分校
765,乾燥
766,麻赫穆德·喀什噶里
767,奢侈品
768,分組賽階段的資格賽賽制
769,鐵嶺銀岡書院
770,民國16年
771,15世紀
772,三監之亂
773,劉少奇
774,馬略一
775,至元十三年
776,妖怪
777,60年代
778,圖西族
779,聖餐持紀念說
780,空腹死刑
781,《三國史記》
782,木星
783,長沙太守
784,物質
785,2002年
786,上海
787,德國
788,濃硫酸
789,
790,兄弟國的盟約
791,1982年1月8日，把金正恩生日定為「民族最大節日」之一，並通報由2011年
792,硫礦
793,1979年
794,義大利
795,村塢型經濟，常受戰亂影響而發展有限；江南社會
796,卡拉恰伊湖
797,宋理宗
798,阿拉里克
799,南京市
800,共和黨
801,日本
802,二戰的爆發
803,1976年
804,上海
805,1949年
806,瓦薩街
807,階級社會
808,1946年4月20日
809,礦產資源
810,1449年
811,1970年
812,隆武帝
813,第一次世界大戰
814,孫叔敖造田興水
815,東西
816,喀喇汗國
817,4月19日
818,民權運動
819,
820,外在
821,
822,1939年
823,《產假和保護婦女兒童權利法》
824,投資環境轉差，這時的福建人紛紛轉向香港發展，香港民國時代的福建人比例比現在多出很多。因為港島北面有大量的福建人，蔡素玉經常在港島區以福建人
825,中華民國國軍
826,
827,人民頻繁的遷移
828,四世紀
829,網際網路版權問題
830,共和派
831,英國
832,1979年
833,高句麗
834,蘇區
835,三重區
836,太陽
837,1940年
838,妖怪學
839,1987年起
840,[UNK][UNK]
841,東
842,關漢卿
843,張學良
844,陳平順
845,主序帶
846,厄德
847,利用電梯、手扶梯等設施輔助
848,1955年
849,甘迺迪
850,母系氏族
851,中國所說之挾天子
852,朝鮮白頭山
853,
854,
855,羅馬帝國
856,
857,路加
858,生物
859,1987年
860,韓國
861,朱載[UNK]
862,圖西族
863,布里斯托，成長在畢曉普斯頓區的城市。他的父親，查爾斯•埃卓恩•拉迪斯拉斯•狄拉克，是一個曾在布里斯托教書的法文老師
864,阿瓦魯阿所在的最大島拉羅東加島在內的九個島嶼都屬於此集團，大部分都是火山
865,廉興
866,基因特質
867,印地語
868,教宗
869,康熙帝
870,稻種
871,第二產程
872,民國43年
873,
874,中國科學技術大學副校長
875,
876,君士坦提烏斯
877,2000年6月
878,高鐵
879,美西戰爭
880,尊漢思想
881,蒂羅爾
882,硫化物
883,
884,1910年革命
885,洛邑
886,蒙漢通婚
887,杜慧度
888,憲政改革
889,英國
890,斯塔福德郡小海伍德村
891,義熙十四年
892,劉少奇
893,2002年
894,3年，大學4年
895,難以運用科學方法證明其真偽
896,國家安全局
897,冷戰時期
898,1949到1961年
899,黑洞
900,天然地
901,馬可波羅
902,新羅馬
903,上海鐵路局
904,中國人民銀行
905,《倫敦條約》
906,迦太基大會
907,
908,短
909,加拿大軍隊
910,120天
911,1950年代
912,文藝復興運動
913,
914,文藝復興式
915,淮安
916,1590年
917,1989年
918,博特羅普
919,柏林國際廣播電台
920,赫羅圖
921,1584年
922,都水監
923,丹尼爾·邁耶
924,商業
925,1948年
926,67個
927,1月21日
928,1884年
929,空軍
930,黑龍江
931,私立大學
932,漢諾瓦的技術信息圖書館
933,韓國華僑
934,馮跋
935,許榮茂
936,汪大淵
937,英語
938,[UNK]稻
939,宋真宗
940,120%
941,茂文·李洛埃的《聯邦調查局》。真實的美國聯邦調查局
942,9月
943,其副汗或小汗多帶有伊利的的稱號
944,唐德剛
945,路易十四
946,韓國
947,0.07個
948,福建人
949,28年
950,李煥之
951,昆明城巴
952,核質
953,石排灣
954,正教
955,八角鼓
956,歐洲鋼鐵
957,文化大革命
958,1640年
959,徐載弼
960,蒙哥
961,士瓦本
962,芝加哥大學
963,船業
964,收放式起落架
965,紐格威森林
966,2012年
967,拿破崙
968,戴克里先
969,166年
970,服務
971,市場經濟
972,1963年
973,亞歷山大六世
974,1919年
975,
976,70年代初
977,1958年底
978,西晉，為州、郡、縣三級制。雖然各國佔地不大，但往往分置許多州，以致州境縮小。並且將自己沒有統治的州郡也常常在境內設置，例如前趙
979,涵元殿
980,郭沫若
981,漢文
982,12次
983,科學社會學
984,八里
985,《中華人民共和國村民委員會組織法》
986,荷蘭
987,聯合國
988,自導、自演的都能奪金像獎的一位演員，成功奪得影帝最佳男主角寶座
989,內陸地區
990,立法會
991,白[UNK]紀滅絕事件
992,毒品
993,異端邪說
994,1252年
995,元朝
996,1932年
997,1972年
998,鐵製蒸汽船
999,文森特
1000,環境保護主義
1001,
1002,1946年
1003,
1004,羅斯托克港
1005,1991年的大選
1006,
1007,矮星
1008,修道主義
1009,1999年
1010,亞歷山大漢密爾頓
1011,中國
1012,1960年
1013,國務委員會委員長
1014,紐約尼克
1015,預付
1016,一街區
1017,100萬
1018,第二代
1019,匈奴
1020,9月2日
1021,中國
1022,工程化核酸酶
1023,伊薩克二世
1024,馬克西米安
1025,外部刺激
1026,麥克阿瑟元帥
1027,
1028,武漢行營副主任
1029,為了躲避戰亂
1030,倭國
1031,1985年
1032,狄拉克
1033,拜占庭帝國整個運作體系的環節之一，其要旨在於實踐其國家的目標與落實外交政策
1034,1823年
1035,漢字詞
1036,寧都會議
1037,舊石器時代
1038,166年
1039,荀子
1040,集團軍
1041,半日制學堂
1042,網際網路版權問題
1043,愷撒
1044,韓語
1045,倫敦霍洛威
1046,佛教
1047,烏爾蘇拉
1048,1964年
1049,岡瓦那大陸
1050,中華民國代表遂被迫退出聯合國
1051,挪威爲了開拓日本
1052,越戰
1053,令拿破崙蒙羞
1054,南華縣
1055,英國
1056,中國人
1057,路面電車
1058,四帝共治制
1059,1060公釐
1060,1939年
1061,安藏王
1062,劉表
1063,慶元
1064,北平綏靖公署主任張學良轉任軍事委員會北平分會副委員長
1065,民法法系
1066,石油危機
1067,秦朝與漢朝
1068,峽灣
1069,1920年
1070,硫代硫酸氨
1071,字喃
1072,省城
1073,1916年
1074,1627年
1075,環境污染
1076,羅德城
1077,孫中山
1078,夏季
1079,臺灣基隆地方法院
1080,戴克里先
1081,6世紀
1082,
1083,甘肅省
1084,領先盤
1085,特教中心各1所。市直幼兒園2所，鄉鎮幼兒園103所。本部位於北京的中華全國總工會下屬中國勞動關係學院
1086,耶穌會
1087,人
1088,「破四舊」
1089,三次
1090,為了獲得大寧地區的駐牧權
1091,梵語
1092,郭松齡
1093,爆炸性
1094,邊督辦公署，在普洱設雲南省第二殖邊督辦公署
1095,明朝時期
1096,1967年
1097,反潛
1098,1932年
1099,正中元年
1100,世稱恭順」
1101,氣候分類系統
1102,抗日戰爭
1103,財產資格限制
1104,漢朝中央
1105,汗位取得不合法
1106,奧東·德拉羅什
1107,灣仔北
1108,帕塔普斯科河
1109,1945年
1110,義熙十一年
1111,政府資助研究
1112,赫爾辛基
1113,《胭脂扣》
1114,羅馬帝國
1115,1847年
1116,日俄戰爭
1117,孫繼承
1118,宋朝形成的理學
1119,傑弗里·德維爾阿杜安
1120,阿拉伯半島
1121,克恩頓
1122,加州尤巴城
1123,君主
1124,天下人
1125,蔣經國
1126,千禧
1127,朱序
1128,中華人民共和國
1129,中國
1130,1992年
1131,康拉德·阿登納
1132,江東
1133,柏拉圖
1134,大約公元185年
1135,弱勢群體
1136,大正天皇
1137,第一教學樓
1138,中國歷代
1139,義輝
1140,美國總統選舉
1141,中華人民共和國衛生部
1142,曼莫漢·辛格
1143,斯拉夫人
1144,第4
1145,聯邦制
1146,1799年
1147,英國
1148,瑞士蘇黎世州
1149,七月初四
1150,德國
1151,滬寧線總管理處
1152,34年
1153,50元
1154,中華民國
1155,2次
1156,拋秧
1157,南卡羅來納州
1158,劉少奇
1159,卡加梅
1160,君士坦丁大帝
1161,日本
1162,5月17日
1163,財務報表
1164,社會
1165,海軍中尉
1166,德川家康真正
1167,空射火箭
1168,1836年
1169,
1170,九龍半島
1171,德里克·羅勃茲
1172,伊斯蘭教
1173,印度
1174,希察克爾夏季音樂節
1175,滬昆高速公路
1176,第二產程
1177,法國
1178,安提阿的卡布斯
1179,道本頓
1180,通州張家灣
1181,全家人一起觀看
1182,《血盟救國軍軍歌》
1183,廣州
1184,聽診器
1185,對朝戰役
1186,唯泰主義
1187,七千年前
1188,兩岸經濟合作架構協議
1189,阿速特部
1190,自由主義
1191,1874年
1192,衝動排放
1193,卡斯特拉
1194,李克強
1195,河東道
1196,免費網路首頁伺服器
1197,米利都
1198,自然環境
1199,韓國
1200,國民政府軍事委員會
1201,63個
1202,46公里
1203,十六世紀
1204,帕多瓦大學
1205,八千多年
1206,吉隆坡
1207,1924年
1208,塢堡
1209,發展局
1210,二氧化硫
1211,北京電視台
1212,[UNK]州縣
1213,十月革命
1214,英國
1215,美國大學協會
1216,
1217,郭松齡
1218,回開京
1219,美國大蕭條時期
1220,為了解決元成宗時期的財政危機
1221,伊薩克
1222,
1223,蔣介石
1224,全印穆斯林聯盟
1225,受通古斯人壓力
1226,喇嘛教
1227,鎌倉時代
1228,太陽而言，受到太陽風擴張影響所及的氣泡狀範圍
1229,中國特色社會主義
1230,劉裕
1231,阿里烏教
1232,鮑德溫伯爵
1233,佛教
1234,中世紀
1235,東正教，少數信仰伊斯蘭教
1236,臺北市
1237,鄧小平
1238,南斯拉夫
1239,武陵
1240,殺蟲
1241,法國大革命
1242,自由韓國黨
1243,否決權
1244,二十世紀
1245,積極進攻
1246,德國物理學者海因里希·赫茲
1247,1898年
1248,義大利汽車之都
1249,火箭發動機
1250,細胞膜
1251,在軌道上驅動列車
1252,聖喬治拉丁文學校
1253,23年
1254,1948年12月1日
1255,武宗系
1256,庚辰靖社
1257,魏博拉盧比民達行業工會
1258,116處
1259,視為
1260,尚吉巴
1261,瓊州海峽
1262,安德魯約翰遜
1263,普林斯頓大學
1264,83年
1265,釣魚台國賓館
1266,伊達政宗
1267,赫羅圖
1268,3年5月，改民政長為巡按使，巡按使公署下置政務、財政等廳。民國5年
1269,
1270,希洛克勒斯
1271,約翰·莫根
1272,臺灣
1273,第二代
1274,日美神奈川條約
1275,北京市
1276,
1277,哈利里德
1278,低可偵測性
1279,柏拉圖
1280,波蘭人
1281,六四事件
1282,英祖四年
1283,改良式
1284,師承
1285,二人
1286,1830年
1287,超文字
1288,八月
1289,
1290,廣州話
1291,傑里·威斯特特
1292,粳稻
1293,挪威
1294,1800
1295,中國郵政儲蓄銀行
1296,金礪
1297,德國
1298,人類
1299,研究所
1300,1989年至2005年
1301,教學大樓
1302,尤利安
1303,洛杉磯快艇
1304,腓力五世
1305,牡丹峰樂團
1306,印度
1307,歐登堡
1308,周敦頤
1309,海因利希・弗格勒
1310,朱利烏斯·凱撒
1311,「豫」
1312,1919年4月13日
1313,1000米以上
1314,文言文
1315,排灣族部落
1316,牛津大學
1317,臨時代議制
1318,世宗大王
1319,2015年
1320,1969年
1321,政府
1322,秧苗是用秧盤進行育苗。不過，只能適用於水田
1323,大
1324,488年
1325,病態賭徒
1326,全國人民代表大會
1327,外太空
1328,周敦頤
1329,蒙疆聯合自治政府
1330,英格蘭
1331,1913年
1332,美國
1333,鐵
1334,普羅斯佩·梅里美
1335,廣東省
1336,玫瑰盃
1337,羅馬法
1338,心理學
1339,希臘
1340,拉丁字母
1341,旅順-大連租借地
1342,卡普拉
1343,聯邦成員
1344,24英吋克拉克望遠鏡
1345,生物質
1346,秘書處
1347,就地掩埋稻草，除不會製造空氣汙染
1348,66種
1349,類比訊號
1350,印度
1351,視錐細胞
1352,人口眾多
1353,威廉二世
1354,遵義會議
1355,瀧川
1356,君士坦丁大帝
1357,國際網球總會
1358,年代末
1359,阿爾法
1360,鐵鉉
1361,外交手段
1362,1887年
1363,2008年
1364,畢達哥拉斯
1365,2010年
1366,1918年
1367,[UNK]分數
1368,劉裕
1369,1652年
1370,大韓帝國
1371,2012年
1372,農桿菌將天然地將遺傳物質插入植物細胞中。在生物動力學
1373,印度洋暖濕氣流
1374,太白山脈
1375,杭達多爾濟
1376,非金屬材料
1377,民國十八年至二十六年間
1378,盧峰
1379,一萬兌一比率
1380,10名
1381,反蘇運動
1382,1996年
1383,1985年
1384,18世紀
1385,選擇信仰天主教來顯示自己的獨立自主
1386,公元前三世紀
1387,九龍灣站
1388,1971年
1389,1997年
1390,牛津大學默頓學院
1391,庭園營造大師
1392,泰國
1393,1914年
1394,廣島市
1395,2300多種
1396,化石燃料
1397,女性
1398,40倍
1399,
1400,紅
1401,1856年
1402,羅鳳
1403,反革命事件
1404,王光美
1405,理察·科伯恩·麥克勞林
1406,西德
1407,1624年
1408,15%
1409,江青
1410,奈及利亞
1411,美國人
1412,1979年
1413,聯星
1414,農田
1415,二戰
1416,2013年2月28日
1417,1973年起
1418,無嗣失權」
1419,南開中學
1420,科學家
1421,10萬人
1422,忽都虎
1423,抗佝[UNK]病維他命
1424,南島語系的馬來-玻里尼西亞語族
1425,57
1426,預算限制
1427,意識型態
1428,拉丁文[UNK]
1429,元代
1430,43人
1431,限制性消化
1432,劉氏
1433,伸展台模特兒
1434,兩層
1435,志費尼
1436,共產黨
