id,tested_positive
321,6.8171096
322,24.826733
323,19.580616
324,6.9776893
325,20.580025
326,4.1033745
327,23.00445
328,16.900679
329,24.271013
330,9.49325
331,24.577257
332,12.113335
333,6.4808183
334,11.495025
335,11.176874
336,22.234684
337,10.861278
338,10.116059
339,20.372477
340,15.6469345
341,9.720098
342,19.192553
343,14.194007
344,4.7325196
345,19.066893
346,25.968306
347,20.083252
348,19.024368
349,18.257212
350,9.272567
351,23.415659
352,16.867699
353,13.686576
354,5.684254
355,18.324686
356,22.701504
357,17.705994
358,21.535374
359,13.66109
360,6.2861824
361,19.058342
362,9.186229
363,13.036276
364,17.269636
365,31.090473
366,17.175854
367,16.68001
368,5.8148637
369,13.477494
370,15.7160225
371,16.67206
372,18.373709
373,11.556498
374,3.8407078
375,12.8182125
376,10.15464
377,9.8023
378,15.667458
379,18.68575
380,24.34603
381,14.9661
382,9.4718485
383,20.489109
384,4.345868
385,16.620863
386,16.978365
387,16.749353
388,14.248315
389,16.75365
390,28.483301
391,11.355695
392,27.292452
393,18.027733
394,6.7895656
395,15.86959
396,27.850687
397,19.077267
398,20.752449
399,12.602016
400,15.638777
401,16.699654
402,6.213841
403,28.66652
404,30.843042
405,11.224145
406,8.760838
407,24.02603
408,11.598241
409,17.064795
410,19.473417
411,8.335354
412,24.066658
413,12.649716
414,9.871633
415,17.51612
416,19.48308
417,23.512314
418,24.915962
419,9.913435
420,16.452774
421,3.899276
422,8.057421
423,11.669952
424,20.134916
425,14.087362
426,16.987719
427,9.059887
428,31.402363
429,21.80332
430,10.067828
431,18.777515
432,15.96536
433,12.593132
434,5.878177
435,23.05931
436,32.640533
437,13.029126
438,3.4434297
439,3.5792978
440,7.488034
441,6.1947727
442,20.154959
443,19.490625
444,19.491695
445,3.3135257
446,3.0769234
447,13.566809
448,24.007603
449,23.773092
450,15.70837
451,8.502744
452,26.175386
453,13.6823015
454,11.476838
455,10.649212
456,22.969368
457,17.678802
458,20.222954
459,6.455988
460,21.884134
461,9.123864
462,16.141388
463,15.874759
464,7.416564
465,9.304825
466,8.46522
467,6.8798957
468,10.944873
469,24.728474
470,18.195955
471,11.649744
472,23.765465
473,11.487883
474,13.54412
475,6.512428
476,13.188187
477,19.969515
478,23.24972
479,23.58739
480,22.629095
481,20.58497
482,27.304909
483,20.53108
484,26.920433
485,5.6911626
486,20.095737
487,17.275127
488,23.578314
489,8.494032
490,12.792198
491,21.37193
492,19.619854
493,13.922724
494,16.983116
495,14.727534
496,14.9931755
497,5.8487186
498,3.7818704
499,11.276787
500,13.769156
501,6.0665054
502,20.438772
503,11.024422
504,24.100252
505,24.296152
506,22.291359
507,10.009438
508,9.303902
509,17.369715
510,18.085812
511,13.532837
512,18.839724
513,9.146149
514,25.425053
515,13.636986
516,13.073077
517,12.700152
518,13.359355
519,27.639809
520,26.193933
521,16.117273
522,17.967028
523,24.774023
524,13.030553
525,31.861876
526,4.211625
527,16.206429
528,14.981391
529,8.761078
530,18.124361
531,10.43189
532,11.725307
533,11.821367
534,21.473776
535,4.0419135
536,26.88925
537,9.0467
538,24.83342
539,14.47567
540,39.109673
541,12.662379
542,20.668285
543,4.1834655
544,10.011049
545,10.031453
546,6.476107
547,26.139816
548,20.122366
549,12.994412
550,12.273563
551,5.8133173
552,20.339518
553,27.285187
554,21.405325
555,5.3198214
556,14.150767
557,15.419844
558,25.94891
559,16.859339
560,10.851691
561,11.095691
562,22.916079
563,19.507254
564,23.642097
565,10.526736
566,23.973791
567,25.909775
568,4.6221437
569,26.384777
570,12.713603
571,16.98093
572,29.173565
573,23.699831
574,3.6069095
575,18.673939
576,25.080019
577,34.427074
578,17.59251
579,20.55809
580,10.815945
581,8.85375
582,12.640931
583,8.908308
584,15.614172
585,8.907132
586,33.71812
587,12.067217
588,6.4194293
589,9.896291
590,10.842169
591,24.783556
592,21.865282
593,32.506847
594,31.026476
595,32.687443
596,9.602982
597,12.030199
598,23.560452
599,24.696177
600,6.1081305
601,8.878793
602,16.990904
603,18.528557
604,19.656488
605,22.241005
606,17.447073
607,30.109331
608,13.906441
609,23.431446
610,5.061578
611,15.79121
612,10.946666
613,27.200758
614,24.152775
615,9.457942
616,23.449965
617,12.226994
618,19.88486
619,10.212752
620,7.909373
621,15.038105
622,9.660732
623,24.287373
624,10.479651
625,26.439054
626,15.120528
627,16.27614
628,18.585205
629,9.092046
630,29.422867
631,18.929665
632,29.473494
633,25.510426
634,19.06376
635,10.511357
636,17.312937
637,10.973651
638,19.225925
639,19.59141
640,9.089989
641,10.167243
642,26.382051
643,31.00375
644,23.113754
645,28.348867
646,7.226208
647,24.770514
648,2.782342
649,12.053391
650,15.479165
651,17.270996
652,10.164124
653,12.1165
654,14.745736
655,14.891003
656,12.648629
657,30.100227
658,11.705451
659,4.1952057
660,27.68837
661,26.669615
662,8.138417
663,10.054058
664,9.805561
665,4.6888595
666,24.269623
667,9.067839
668,21.649702
669,22.340366
670,12.389366
671,5.6584806
672,7.2544303
673,15.575329
674,2.5383294
675,13.775693
676,24.192715
677,27.021294
678,15.847285
679,10.396311
680,14.906643
681,11.258815
682,17.22762
683,19.703573
684,2.5437925
685,26.744732
686,17.93675
687,13.526492
688,4.7631745
689,11.284162
690,17.855356
691,6.786111
692,15.077949
693,2.1980057
694,2.3214886
695,9.719756
696,21.828886
697,31.304842
698,28.063452
699,4.1793776
700,5.4894357
701,2.3119311
702,18.174675
703,17.479502
704,29.628809
705,5.057948
706,16.916945
707,5.44623
708,11.161862
709,12.827726
710,20.703533
711,8.337289
712,24.087017
713,10.176939
714,3.7396045
715,2.2004695
716,9.35897
717,22.035309
718,11.945879
719,21.78294
720,7.6699495
721,3.7013967
722,20.579159
723,25.185595
724,7.056113
725,18.765654
726,2.728373
727,13.002759
728,5.0648117
729,17.646069
730,7.416138
731,8.235191
732,21.171274
733,6.2918534
734,22.021093
735,14.3301525
736,4.745664
737,21.48147
738,6.35351
739,24.730457
740,17.765812
741,17.4468
742,9.619266
743,23.808681
744,15.185804
745,13.6480055
746,27.852158
747,28.731733
748,17.132353
749,7.525553
750,6.200683
751,24.369581
752,4.6041236
753,11.2277
754,19.170984
755,20.636612
756,19.2048
757,17.375238
758,10.980688
759,9.649619
760,14.831145
761,8.996398
762,4.4931703
763,25.656498
764,29.461721
765,21.390144
766,20.650135
767,7.8649125
768,12.304954
769,13.886903
770,17.457798
771,11.537647
772,25.222338
773,18.463839
774,4.5249567
775,10.479451
776,22.592936
777,21.216534
778,17.397182
779,12.52875
780,22.865095
781,32.175343
782,17.716555
783,20.42963
784,10.6872
785,5.0558043
786,5.5336194
787,20.898836
788,22.732439
789,14.708783
790,20.400272
791,7.408181
792,12.910652
793,14.554491
794,9.68656
795,19.728569
796,12.577061
797,13.581289
798,7.294948
799,15.657608
800,13.251967
801,10.269257
802,8.845611
803,12.282411
804,12.378839
805,22.053429
806,10.571639
807,20.739225
808,20.660603
809,28.282742
810,13.529007
811,18.46176
812,14.327966
813,15.588679
814,7.479532
815,2.5554004
816,5.5460715
817,15.731982
818,29.335152
819,7.4954033
820,23.619934
821,15.362997
822,15.865628
823,19.554527
824,23.78307
825,4.261444
826,9.776276
827,19.62537
828,21.505865
829,14.82889
830,18.186207
831,2.6716142
832,12.288683
833,11.838154
834,14.217256
835,28.69341
836,12.416264
837,17.909063
838,21.746408
839,18.471342
840,19.519072
841,37.205147
842,32.3674
843,18.568089
844,19.262503
845,6.378432
846,13.061587
847,17.108183
848,8.80843
849,14.349048
850,5.2763405
851,5.1573305
852,6.1369405
853,9.856518
854,6.4535556
855,23.51435
856,22.90472
857,20.784697
858,6.7302465
859,13.486472
860,20.35858
861,21.246733
862,22.225332
863,21.418211
864,12.892425
865,5.816722
866,8.6085825
867,8.412123
868,24.953861
869,23.690826
870,7.4063516
871,11.269187
872,14.4071245
873,32.991684
874,27.433857
875,17.804333
876,17.721468
877,11.776026
878,18.486198
879,17.205841
880,7.360866
881,12.907475
882,9.055786
883,12.131776
884,26.677902
885,15.517507
886,29.442568
887,19.099442
888,13.158564
889,4.2136984
890,30.761208
891,26.835524
892,17.873356
